top_k,cumulative_ig,cumulative_mi,mean_ig,mean_mi,worst_ig_in_batch,worst_mi_in_batch,batch_feature_names,ig_gain,mi_gain,mean_ig_change
1,0.10949615532082935,0.07589695134282762,0.10949615532082935,0.07589695134282762,0.10949615532082935,0.07589695134282762,n_api_calls,,,
2,0.21347672173279186,0.14797078778430509,0.10673836086639593,0.07398539389215254,0.10398056641196252,0.07207383644147747,perm_android.permission.GET_TASKS,0.10398056641196252,0.07207383644147747,-0.0027577944544334154
3,0.3161930102970105,0.2191682936001747,0.10539767009900351,0.0730560978667249,0.10271628856421866,0.07119750581586962,perm_android.permission.READ_PHONE_STATE,0.10271628856421866,0.07119750581586962,-0.001340690767392419
4,0.41550299957458153,0.2880047326693614,0.10387574989364538,0.07200118316734035,0.09930998927757101,0.06883643906918667,perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS,0.09930998927757101,0.06883643906918668,-0.0015219202053581293
5,0.5140279436832254,0.3562970198936832,0.10280558873664507,0.07125940397873663,0.09852494410864376,0.06829228722432178,n_urls,0.09852494410864382,0.06829228722432179,-0.0010701611570003156
6,0.601470566004461,0.41690762701641526,0.10024509433407684,0.06948460450273587,0.08744262232123562,0.06061060712273207,perm_android.permission.SYSTEM_ALERT_WINDOW,0.08744262232123567,0.060610607122732085,-0.0025604944025682252
7,0.6854322237695575,0.4751054133714557,0.09791888910993678,0.06787220191020796,0.08396165776509645,0.05819778635504042,n_used_permissions,0.08396165776509645,0.058197786355040415,-0.0023262052241400655
8,0.764229154618441,0.5297232838261352,0.09552864432730512,0.0662154104782669,0.07879693084888362,0.05461787045467967,perm_com.android.launcher.permission.INSTALL_SHORTCUT,0.0787969308488835,0.05461787045467953,-0.0023902447826316536
9,0.8345988470015893,0.5784998376983852,0.0927332052223988,0.06427775974426503,0.07036969238314833,0.04877655387225002,perm_android.permission.CHANGE_WIFI_STATE,0.07036969238314827,0.048776553872249995,-0.0027954391049063165
10,0.9033571197990589,0.6261594406281217,0.09033571197990589,0.06261594406281216,0.0687582727974696,0.047659602929736485,perm_android.permission.SEND_SMS,0.0687582727974696,0.04765960292973648,-0.002397493242492915
11,0.9710299202599808,0.6730666514685657,0.08827544729636189,0.06118787740623324,0.06767280046092189,0.04690721084044405,n_permissions,0.06767280046092194,0.046907210840444025,-0.0020602646835440053
12,1.0384537824326914,0.7198013114360426,0.08653781520272429,0.05998344261967022,0.06742386217271057,0.046734659967477,suspicious_getSubscriberId,0.06742386217271057,0.046734659967476944,-0.0017376320936376005
13,1.0991526211804468,0.7618745403773104,0.08455020162926513,0.05860573387517772,0.060698838747755335,0.042073228941267735,intent_android.intent.action.USER_PRESENT,0.06069883874775539,0.04207322894126775,-0.0019876135734591543
14,1.1577030849535663,0.8024586292621254,0.08269307749668331,0.05731847351872325,0.058550463773119565,0.04058408888481499,perm_android.permission.CHANGE_NETWORK_STATE,0.058550463773119565,0.04058408888481502,-0.0018571241325818222
15,1.2156843932557835,0.8426482096369821,0.08104562621705223,0.05617654730913214,0.057981308302217094,0.040189580374856704,perm_android.permission.WRITE_SETTINGS,0.05798130830221715,0.04018958037485665,-0.0016474512796310764
16,1.2728430879608972,0.8822675977163192,0.07955269299755607,0.05514172485726995,0.057158694705113755,0.03961938807933696,perm_android.permission.READ_SMS,0.0571586947051137,0.03961938807933718,-0.0014929332194961592
17,1.3299152115074409,0.9218269792411751,0.07823030655926122,0.05422511642595147,0.057072123546543674,0.03955938152485585,perm_android.permission.WRITE_SMS,0.057072123546543674,0.03955938152485583,-0.0013223864382948536
18,1.3850645364071643,0.960053578305202,0.07694802980039801,0.05333630990584456,0.05514932489972335,0.03822659906402696,suspicious_getSystemService,0.05514932489972346,0.03822659906402692,-0.0012822767588632072
19,1.4395968860967279,0.997852522741831,0.07576825716298567,0.052518553828517424,0.0545323496895635,0.03779894443662901,intent_android.net.conn.CONNECTIVITY_CHANGE,0.05453234968956355,0.03779894443662901,-0.0011797726374123407
20,1.4935018488393252,1.0352165956850505,0.07467509244196627,0.051760829784252525,0.05390496274259732,0.0373640729432195,perm_android.permission.READ_LOGS,0.05390496274259737,0.03736407294321953,-0.0010931647210194045
21,1.5464018648303042,1.0718840926207716,0.0736381840395383,0.05104209964860817,0.05290001599097888,0.03666749693572105,suspicious_Base64,0.05290001599097893,0.03666749693572102,-0.001036908402427969
22,1.5980961894680012,1.1077158679943415,0.07264073588490914,0.05035072127247007,0.051694324637696965,0.03583177537357004,perm_android.permission.RECEIVE_SMS,0.051694324637697076,0.03583177537356996,-0.0009974481546291547
23,1.6460463555000788,1.140952390386857,0.07156723284782951,0.049606625668993785,0.04795016603207747,0.03323652239251558,suspicious_Ldalvik/system/PathClassLoader;,0.04795016603207758,0.03323652239251551,-0.0010735030370796345
24,1.691994434455524,1.1728011717669697,0.0704997681023135,0.048866715490290404,0.04594807895544567,0.03184878138011238,suspicious_getPackageInfo,0.04594807895544517,0.03184878138011271,-0.0010674647455160141
25,1.7360110599012737,1.203311171592454,0.06944044239605095,0.048132446863698164,0.0440166254457498,0.03050999982548433,intent_android.intent.action.PACKAGE_ADDED,0.04401662544574969,0.030509999825484302,-0.0010593257062625483
26,1.7794502393752556,1.2334209163706809,0.06844039382212522,0.04743926601425696,0.04343917947398185,0.030109744778226824,perm_android.permission.ACCESS_WIFI_STATE,0.043439179473981904,0.03010974477822681,-0.0010000485739257298
27,1.8211962093885385,1.2623570177851264,0.06745171145883476,0.04675396362167135,0.041745970013282896,0.02893610141444548,intent_com.google.android.c2dm.intent.RECEIVE,0.04174597001328295,0.02893610141444558,-0.0009886823632904579
28,1.8622005849054892,1.2907790850653205,0.06650716374662462,0.04609925303804716,0.04100437551695074,0.02842206728019403,perm_com.android.launcher.permission.READ_SETTINGS,0.041004375516950686,0.02842206728019403,-0.000944547712210142
29,1.902989703154447,1.319051947377112,0.06562033459153266,0.04548454990955559,0.04078911824895759,0.028272862311791505,intent_android.intent.action.PACKAGE_REMOVED,0.0407891182489577,0.028272862311791602,-0.0008868291550919588
30,1.9423465226510253,1.346332015846972,0.06474488408836751,0.04487773386156573,0.039356819496578266,0.027280068469860072,suspicious_getExternalStorageDirectory,0.03935681949657832,0.027280068469859975,-0.0008754505031651483
31,1.98084923054768,1.373020059269461,0.0638983622757316,0.04429096965385358,0.038502707896654664,0.026688043422489025,perm_com.android.launcher.permission.UNINSTALL_SHORTCUT,0.038502707896654664,0.026688043422488983,-0.0008465218126359059
32,2.019295374412958,1.3996688954930798,0.06310298045040494,0.043739652984158744,0.03844614386527817,0.02664883622361882,perm_android.permission.CHANGE_CONFIGURATION,0.038446143865278115,0.0266488362236188,-0.0007953818253266659
33,2.0575351895420435,1.4261747155349387,0.062349551198243744,0.04321741562227087,0.03823981512908564,0.02650582004185885,suspicious_Cipher,0.038239815129085475,0.026505820041858863,-0.0007534292521611946
